			Houten	HUB+D01 Jažlovice	D02 České Budějovice	D03 Plzeň	D04 Teplice	D05 Hradec Králové	D06 Brno	D07 Ostrava	D09 Olomouc	D10 Praha Řeporyje	D12 Humpolec
			MHS	1108	1037	1041	1042	1039	1036	1035	1038	1034	1040
		ZIP code	3991	25101	37001	30100	41742	50332	62800	72100	77900	15500	39601
Houten	MHS	3991	0	928	939	813	771	951	1070	1178	1096	897	956
HUB+D01 Jažlovice	1108	25101	928	0	142	114	111	99	199	323	237	33	84
D02 České Budějovice	1037	37001	939	142	0	142	256	223	237	378	293	164	122
D03 Plzeň	1041	30100	813	114	142	0	135	203	305	428	342	84	190
D04 Teplice	1042	41742	771	111	256	135	0	191	312	415	329	109	196
D05 Hradec Králové	1039	50332	951	99	223	203	191	0	163	246	159	115	101
D06 Brno	1036	62800	1070	199	237	305	312	163	0	159	80	224	117
D07 Ostrava	1035	72100	1178	323	378	428	415	246	159	0	84	346	258
D09 Olomouc	1038	77900	1096	237	293	342	329	159	80	84	0	296	189
D10 Praha Řeporyje	1034	15500	897	33	164	84	109	115	224	346	296	0	110
D12 Humpolec	1040	39601	956	84	122	190	196	101	117	258	189	110	0
